Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
bacino_link,"1,63084527327795E-05","0,00482972023678639","-0,0681817318631012",0,0,0,"14,0934021081274","0,0949181150286265","-1,03230480747761E-05","-1,25085778882932E-05","0,170706666777228","0,00132631356646179","0,169800725598489",0,0,0,0,0,0,package://umanoa/meshes/bacino_link.STL,"0,752941176470588","0,752941176470588","0,752941176470588",1,0,0,0,0,0,0,package://umanoa/meshes/bacino_link.STL,,Articulating Man Complete ASMstp.STEP-1/Waist5 ArtM.STEP-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
coscia_dx_Link,"0,00662753240336589","-0,044826678010188","-0,0201614038322519",0,0,0,"11,8867774501735","0,303595205835885","0,000594465401412999","2,99085342904802E-05","0,0443849999482012","-0,0201705033753511","0,298071839790968",0,0,0,0,0,0,package://umanoa/meshes/coscia_dx_Link.STL,1,1,1,1,0,0,0,0,0,0,package://umanoa/meshes/coscia_dx_Link.STL,,Articulating Man Complete ASMstp.STEP-1/RightThighCalfFoot ArtM ASM.STEP-1/Thigh ArtM.STEP-1,sancadx,,anca_dx,fixed,"-0,0889",0,"-0,1905","1,5708",0,0,bacino_link,0,0,0,,,,,,,,,,,,
coscia_dx_rx_Link,"0,00662753240336589","-0,044826678010188","-0,0201614038322519",0,0,0,"11,8867774501735","0,303595205835885","0,000594465401412999","2,99085342904802E-05","0,0443849999482012","-0,0201705033753511","0,298071839790968",0,0,0,0,0,0,package://umanoa/meshes/coscia_dx_rx_Link.STL,1,1,1,1,0,0,0,0,0,0,package://umanoa/meshes/coscia_dx_rx_Link.STL,,Articulating Man Complete ASMstp.STEP-1/RightThighCalfFoot ArtM ASM.STEP-1/Thigh ArtM.STEP-1,sancadx,a_anca_dx_x,anca_dx_rx,revolute,0,0,0,0,0,0,coscia_dx_Link,-1,0,0,0,0,"-1,74","0,52",,,,,,,,
coscia_dx_ry_Link,"0,00662753240336589","-0,044826678010188","-0,0201614038322519",0,0,0,"11,8867774501735","0,303595205835885","0,000594465401412999","2,99085342904802E-05","0,0443849999482012","-0,0201705033753511","0,298071839790968",0,0,0,0,0,0,package://umanoa/meshes/coscia_dx_ry_Link.STL,1,1,1,1,0,0,0,0,0,0,package://umanoa/meshes/coscia_dx_ry_Link.STL,,Articulating Man Complete ASMstp.STEP-1/RightThighCalfFoot ArtM ASM.STEP-1/Thigh ArtM.STEP-1,sancadx,a_anca_dx_y,anca_dx_ry,revolute,0,0,0,0,0,0,coscia_dx_rx_Link,0,-1,0,0,0,"-1,57","1,57",,,,,,,,
coscia_dx_rz_Link,"0,00662753240336589","-0,044826678010188","-0,0201614038322519",0,0,0,"11,8867774501735","0,303595205835885","0,000594465401412999","2,99085342904802E-05","0,0443849999482012","-0,0201705033753511","0,298071839790968",0,0,0,0,0,0,package://umanoa/meshes/coscia_dx_rz_Link.STL,1,1,1,1,0,0,0,0,0,0,package://umanoa/meshes/coscia_dx_rz_Link.STL,,Articulating Man Complete ASMstp.STEP-1/RightThighCalfFoot ArtM ASM.STEP-1/Thigh ArtM.STEP-1,sancadx,a_anca_dx_z,anca_dx_rz,revolute,0,0,0,0,0,0,coscia_dx_ry_Link,0,0,1,0,0,"-0,7","0,35",,,,,,,,
polpaccio_dx_rx_Link,"-0,000304420917175363","-0,109966681022119","-0,0130003073633206",0,0,0,"6,86310239666224","0,139910119437171","-5,11988110893528E-05","-1,18777943387184E-05","0,0161961116536394","-0,0102294578236297","0,138969335978628",0,0,0,0,0,0,package://umanoa/meshes/polpaccio_dx_rx_Link.STL,1,1,1,1,0,0,0,0,0,0,package://umanoa/meshes/polpaccio_dx_rx_Link.STL,,Articulating Man Complete ASMstp.STEP-1/RightThighCalfFoot ArtM ASM.STEP-1/Calf ArtM.STEP-1,ginocchiodx,aginocchiodx,ginocchio_dx_rx,revolute,"0,0065311","-0,35352","-0,044754",0,0,0,coscia_dx_rz_Link,-1,0,0,0,0,"0,66","-1,57",,,,,,,,
piede_dx_rx_Link,"0,000721562613339971","-0,0172273022014146","0,0502157348703868",0,0,0,"2,49810016737232","0,0109341663859979","2,37647768707714E-05","-0,00021392179843149","0,0109487988082798","0,00112175865463177","0,00283228719378269",0,0,0,0,0,0,package://umanoa/meshes/piede_dx_rx_Link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://umanoa/meshes/piede_dx_rx_Link.STL,,Articulating Man Complete ASMstp.STEP-1/RightThighCalfFoot ArtM ASM.STEP-1/Right Foot ArtM.STEP-1,cavigliadx,acavigliadx,caviglia_dx_rx,revolute,"5,0188E-05","-0,37937","-0,035164",0,0,0,polpaccio_dx_rx_Link,-1,0,0,0,0,"-0,35","0,7",,,,,,,,
piede_dx_ry_Link,"0,000721562613339999","-0,0172273022014146","0,0502157348703868",0,0,0,"2,49810016737232","0,0109341663859979","2,37647768707714E-05","-0,00021392179843149","0,0109487988082798","0,00112175865463177","0,00283228719378269",0,0,0,0,0,0,package://umanoa/meshes/piede_dx_ry_Link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://umanoa/meshes/piede_dx_ry_Link.STL,,Articulating Man Complete ASMstp.STEP-1/RightThighCalfFoot ArtM ASM.STEP-1/Right Foot ArtM.STEP-1,cavigliadx,caviglia_dx_y,caviglia_dx_ry,revolute,0,0,0,0,0,0,piede_dx_rx_Link,0,-1,0,0,0,"-0,52","0,52",,,,,,,,
piede_dx_Link,"0,000721562613339971","-0,0172273022014146","0,0502157348703868",0,0,0,"2,49810016737232","0,0109341663859979","2,37647768707714E-05","-0,00021392179843149","0,0109487988082798","0,00112175865463177","0,00283228719378269",0,0,0,0,0,0,package://umanoa/meshes/piede_dx_Link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://umanoa/meshes/piede_dx_Link.STL,,Articulating Man Complete ASMstp.STEP-1/RightThighCalfFoot ArtM ASM.STEP-1/Right Foot ArtM.STEP-1,cavigliadx,Axis_caviglia_dx,caviglia_dx,fixed,0,0,0,0,0,0,piede_dx_ry_Link,0,0,0,,,,,,,,,,,,
coscia_sx_Link,"-0,00607204020530218","-0,0461359748866554","-0,000225075287491326",0,0,0,"11,886776881057","0,303598011640181","0,00059147291441526","-7,32059163231503E-05","0,0450746920057602","0,024110139094956","0,297384762883386",0,0,0,0,0,0,package://umanoa/meshes/coscia_sx_Link.STL,1,1,1,1,0,0,0,0,0,0,package://umanoa/meshes/coscia_sx_Link.STL,,Articulating Man Complete ASMstp.STEP-1/LeftThighCalfFoot ArtM ASM.STEP-1/Thigh ArtM.STEP-1,sancasx,,anca_sx,fixed,"0,0889","-0,0099886","-0,1901","1,5708",0,0,bacino_link,0,0,0,,,,,,,,,,,,
